@relation PokeSet
@attribute Height real
@attribute Weight real
@attribute Body {head,serpertine,fins,headArms,headBase,bipedalTailed,headLegs,quadruped,singleWings,multiped,multiBody,bipedalTailless,TwoMoreWings,insectoid}
@attribute CatchRate real
@attribute PerfSpeed real
@attribute PerfPower real
@attribute PerfSkill real
@attribute PerfStamina real
@attribute PerfJump real
@attribute BaseHp real
@attribute BaseAttack real
@attribute BaseDefense real
@attribute BaseSpAttack real
@attribute BaseSpDefense real
@attribute BaseSpeed real
@attribute Color { 'black' ,'blue' ,'brown' ,'gray' ,'green' ,'pink' ,'purple' ,'red' ,'silver' ,'yellow' }
@attribute Habitat {'cave' ,'forest' ,'grass' ,'mountain' ,'rare' ,'rough' ,'sea' ,'urban' ,'water' }
@attribute Ability1 { 'Adaptability' ,'Aftermath' ,'Air Lock' ,'Anticipation' ,'Bad Dreams' ,'Battle Armor' ,'Big Pecks' ,'Blaze' ,'Chlorophyll' ,'Clear Body' ,'Color Change' ,'Compound Eyes' ,'Cute Charm' ,'Damp' ,'Defeatist' ,'Defiant' ,'Download' ,'Drizzle' ,'Drought' ,'Early Bird' ,'Effect Spore' ,'Flame Body' ,'Flash Fire' ,'Flower Gift' ,'Forecast' ,'Forewarn' ,'Frisk' ,'Gluttony' ,'Guts' ,'Healer' ,'Honey Gather' ,'Hustle' ,'Hydration' ,'Hyper Cutter' ,'Ice Body' ,'Illuminate' ,'Illusion' ,'Immunity' ,'Inner Focus' ,'Insomnia' ,'Intimidate' ,'Iron Barbs' ,'Iron Fist' ,'Justified' ,'Keen Eye' ,'Leaf Guard' ,'Levitate' ,'Lightningrod' ,'Limber' ,'Liquid Ooze' ,'Magma Armor' ,'Magnet Pull' ,'Marvel Scale' ,'Minus' ,'Mold Breaker' ,'Motor Drive' ,'Multitype' ,'Mummy' ,'Natural Cure' ,'Oblivious' ,'Overcoat' ,'Overgrow' ,'Own Tempo' ,'Pickup' ,'Plus' ,'Poison Point' ,'Prankster' ,'Pressure' ,'Pure Power' ,'Reckless' ,'Rivalry' ,'Rock Head' ,'Rough Skin' ,'Run Away' ,'Sand Force' ,'Sand Rush' ,'Sand Stream' ,'Sand Veil' ,'Serene Grace' ,'Shadow Tag' ,'Shed Skin' ,'Sheer Force' ,'Shell Armor' ,'Shield Dust' ,'Simple' ,'Slow Start' ,'Snow Cloak' ,'Snow Warning' ,'Solid Rock' ,'Soundproof' ,'Speed Boost' ,'Static' ,'Steadfast' ,'Stench' ,'Sticky Hold' ,'Sturdy' ,'Suction Cups' ,'Swarm' ,'Swift Swim' ,'Synchronize' ,'Technician' ,'Telepathy' ,'Teravolt' ,'Thick Fat' ,'Torrent' ,'Trace' ,'Truant' ,'Turboblaze' ,'Unaware' ,'Victory Star' ,'Vital Spirit' ,'Volt Absorb' ,'Water Absorb' ,'Water Veil' ,'White Smoke' ,'Wonder Guard' ,'Wonder Skin' }
@attribute Ability2 {'Adaptability' ,'Aftermath' ,'Anger Point' ,'Anticipation' ,'Arena Trap' ,'Battle Armor' ,'Big Pecks' ,'Chlorophyll' ,'Cloud Nine' ,'Compound Eyes' ,'Cursed Body' ,'Damp' ,'Download' ,'Dry Skin' ,'Early Bird' ,'Filter' ,'Flame Body' ,'Flash Fire' ,'Forewarn' ,'Frisk' ,'Gluttony' ,'Guts' ,'Heatproof' ,'Huge Power' ,'Hustle' ,'Hydration' ,'Ice Body' ,'Illuminate' ,'Infiltrator' ,'Inner Focus' ,'Insomnia' ,'Intimidate' ,'Iron Fist' ,'Keen Eye' ,'Klutz' ,'Leaf Guard' ,'Lightningrod' ,'Limber' ,'Liquid Ooze' ,'Magic Guard' ,'Magnet Pull' ,'Minus' ,'Mold Breaker' ,'Motor Drive' ,'Moxie' ,'Natural Cure' ,'No Guard' ,'Normalize' ,'Oblivious' ,'Overcoat' ,'Own Tempo' ,'Pickup' ,'Poison Heal' ,'Poison Point' ,'Poison Touch' ,'Pressure' ,'Quick Feet' ,'Rain Dish' ,'Reckless' ,'Regenerator' ,'Rivalry' ,'Rock Head' ,'Run Away' ,'Sand Force' ,'Sand Rush' ,'Sand Veil' ,'Sap Sipper' ,'Scrappy' ,'Serene Grace' ,'Shed Skin' ,'Sheer Force' ,'Shell Armor' ,'Simple' ,'Skill Link' ,'Sniper' ,'Snow Cloak' ,'Solar Power' ,'Solid Rock' ,'Stall' ,'Static' ,'Steadfast' ,'Sticky Hold' ,'Storm Drain' ,'Sturdy' ,'Super Luck' ,'Swarm' ,'Swift Swim' ,'Synchronize' ,'Tangled Feet' ,'Technician' ,'Thick Fat' ,'Tinted Lens' ,'Trace' ,'Unaware' ,'Unburden' ,'Unnerve' ,'Water Absorb' ,'Water Veil' ,'Weak Armor' }
@attribute Hidden {'Analytic' ,'Anger Point' ,'Anticipation' ,'Big Pecks' ,'Contrary' ,'Cursed Body' ,'Damp' ,'Defiant' ,'Dry Skin' ,'Early Bird' ,'Friend Guard' ,'Harvest' ,'Honey Gather' ,'Hustle' ,'Hydration' ,'Ice Body' ,'Infiltrator' ,'Inner Focus' ,'Justified' ,'Light Metal' ,'Moody' ,'Moxie' ,'Oblivious' ,'Overcoat' ,'Own Tempo' ,'Prankster' ,'Quick Feet' ,'Rattled' ,'Regenerator' ,'Run Away' ,'Sap Sipper' ,'Sheer Force' ,'Steadfast' ,'Technician' ,'Thick Fat' ,'Unaware' ,'Unburden' ,'Unnerve' ,'Vital Spirit' ,'Wonder Skin' }
@attribute Exp {Erratic, Fast , Fluctuating, MediumFast, MediumSlow, Slow }
@attribute class { Grass,Fire,Water,Bug,Normal,Poison,Electric,Ground,Fairy,Fighting,Rock,Ghost,Psychic,Ice,Dragon,Dark,Steel,Flying}
@data 
1.5,60.4,headBase,45,1,4,3,5,2,86,81,97,81,107,43,"green","sea","Suction Cups",?,?,Erratic,Rock
0.6,95.2,headBase,3,4,4,1,3,4,40,55,80,35,60,30,"blue","rough","Clear Body",?,?,Slow,Steel
1,108,headBase,100,2,4,2,5,2,50,92,108,92,108,35,"purple",?,"Pressure",?,?,MediumFast,Ghost
0.5,6.6,headBase,190,?,?,?,?,?,45,35,50,70,50,30,"green",?,"Chlorophyll","Own Tempo",?,MediumFast,Grass
1.1,16.3,headBase,75,?,?,?,?,?,70,60,75,110,75,90,"green",?,"Chlorophyll","Own Tempo",?,MediumFast,Grass
1,28,headBase,255,?,?,?,?,?,75,86,67,106,67,60,"green",?,"Water Absorb","Chlorophyll",?,MediumFast,Grass
1.7,76.5,headBase,90,?,?,?,?,?,58,50,145,95,105,30,"yellow",?,"Mummy",?,?,MediumFast,Ghost
0.4,5.7,headBase,255,?,?,?,?,?,36,50,50,65,60,44,"silver",?,"Ice Body",?,?,Slow,Ice
1.1,41,headBase,120,?,?,?,?,?,51,65,65,80,75,59,"silver",?,"Ice Body",?,?,Slow,Ice
0.3,3.1,headBase,190,?,?,?,?,?,50,30,55,65,55,20,"silver",?,"Flash Fire","Flame Body",?,MediumSlow,Ghost
0.6,8.5,bipedalTailed,45,3,5,4,3,3,39,52,43,60,50,65,"red","mountain","Blaze",?,?,MediumSlow,Fire
1.1,19,bipedalTailed,45,3,4,4,2,3,58,64,58,80,65,80,"red","mountain","Blaze",?,?,MediumSlow,Fire
1.7,243.6,bipedalTailed,45,3,3,2,5,5,78,104,78,159,115,100,"red","mountain","Blaze",?,?,MediumSlow,Fire
0.5,9,bipedalTailed,45,3,3,4,4,2,44,48,65,50,64,43,"blue","water","Torrent",?,?,MediumSlow,Water
1,22.5,bipedalTailed,45,4,3,5,4,3,59,63,80,65,80,58,"blue","water","Torrent",?,?,MediumSlow,Water
1.6,222.9,bipedalTailed,45,3,5,3,5,3,79,103,120,135,115,78,"blue","water","Torrent",?,?,MediumSlow,Water
0.8,30,bipedalTailed,75,3,5,5,5,3,60,90,55,90,80,100,"yellow","forest","Static",?,?,MediumFast,Electric
0.6,12,bipedalTailed,255,4,3,5,3,3,50,75,85,20,30,40,"yellow","rough","Sand Veil",?,?,MediumFast,Ground
1,29.5,bipedalTailed,90,3,4,5,3,2,75,100,110,45,55,65,"yellow","rough","Sand Veil",?,?,MediumFast,Ground
1.3,60,bipedalTailed,45,3,5,3,5,2,90,82,87,75,85,76,"blue","grass","Poison Point","Rivalry","Sheer Force",MediumSlow,Poison
1.4,62,bipedalTailed,45,3,5,3,4,2,81,92,77,85,75,85,"purple","grass","Poison Point","Rivalry","Sheer Force",MediumSlow,Poison
0.6,7.5,bipedalTailed,150,5,3,5,4,3,70,45,48,60,65,35,"pink","mountain","Cute Charm","Magic Guard","Friend Guard",Fast,Fairy
1.3,40,bipedalTailed,25,3,3,5,5,3,95,70,73,85,90,60,"pink","mountain","Cute Charm","Magic Guard","Unaware",Fast,Fairy
0.8,19.6,bipedalTailed,190,5,5,5,5,4,50,52,48,65,50,55,"yellow","water","Damp","Cloud Nine",?,MediumFast,Water
1.7,76.6,bipedalTailed,75,3,4,3,4,4,80,82,78,95,80,85,"blue","water","Damp","Cloud Nine",?,MediumFast,Water
0.5,28,bipedalTailed,190,4,3,5,2,3,40,80,35,35,45,70,"brown","mountain","Vital Spirit","Anger Point","Defiant",MediumFast,Fighting
1,32,bipedalTailed,75,3,5,1,3,3,65,105,60,60,70,95,"brown","mountain","Vital Spirit","Anger Point","Defiant",MediumFast,Fighting
0.9,19.5,bipedalTailed,200,5,1,5,4,5,25,20,15,105,55,90,"brown","urban","Synchronize","Inner Focus",?,MediumSlow,Psychic
1.3,56.5,bipedalTailed,100,4,3,5,3,3,40,35,30,120,70,105,"brown","urban","Synchronize","Inner Focus",?,MediumSlow,Psychic
0.8,19.5,bipedalTailed,180,4,4,3,3,2,70,80,50,35,35,35,"gray","mountain","Guts","No Guard","Steadfast",MediumSlow,Fighting
1.6,78.5,bipedalTailed,75,1,3,5,5,3,95,75,110,100,80,30,"pink","water","Oblivious","Own Tempo",?,MediumFast,Water
1.5,40.5,bipedalTailed,45,3,3,5,4,3,60,65,80,170,95,130,"purple","cave","Levitate",?,?,MediumSlow,Ghost
0.4,6.5,bipedalTailed,190,4,5,3,3,3,50,50,95,40,50,35,"brown","mountain","Rock Head","Lightningrod",?,MediumFast,Ground
1,45,bipedalTailed,75,3,5,3,4,2,60,80,110,50,80,45,"brown","mountain","Rock Head","Lightningrod",?,MediumFast,Ground
1.2,65.5,bipedalTailed,45,3,4,3,5,3,90,55,75,60,75,30,"pink","grass","Own Tempo","Oblivious",?,MediumFast,Normal
1.9,120,bipedalTailed,60,2,5,3,5,3,105,130,120,45,45,40,"gray","rough","Lightningrod","Rock Head",?,Slow,Ground
1.1,34.6,bipedalTailed,30,3,4,4,5,3,250,5,5,35,105,50,"pink","urban","Natural Cure","Serene Grace",?,Fast,Normal
2.2,220.5,bipedalTailed,45,4,5,4,5,2,105,125,100,60,100,100,"brown","grass","Early Bird","Scrappy","Inner Focus",MediumFast,Normal
1.1,30,bipedalTailed,45,4,4,4,4,3,65,83,57,95,85,105,"yellow","grass","Static",?,?,MediumFast,Electric
1.3,44.5,bipedalTailed,45,2,3,5,5,3,65,95,57,100,85,93,"red","mountain","Flame Body",?,?,MediumFast,Fire
1.3,40.5,bipedalTailed,45,5,5,3,3,3,60,115,105,65,70,80,"brown","sea","Swift Swim","Battle Armor",?,MediumFast,Rock
2.2,210,bipedalTailed,45,5,5,3,4,5,91,134,95,100,100,80,"brown","water","Inner Focus",?,?,Slow,Dragon
2.3,280,bipedalTailed,3,5,5,5,4,4,106,150,70,194,120,140,"purple","rare","Pressure",?,?,Slow,Psychic
0.4,4,bipedalTailed,45,5,5,5,5,5,100,100,100,100,100,100,"pink","rare","Synchronize",?,?,MediumSlow,Psychic
0.6,9.5,bipedalTailed,45,4,5,3,3,3,50,65,64,44,48,43,"blue","water","Torrent",?,?,MediumSlow,Water
1.1,25,bipedalTailed,45,3,5,3,5,3,65,80,80,59,63,58,"blue","water","Torrent",?,?,MediumSlow,Water
2.3,88.8,bipedalTailed,45,4,5,4,4,2,85,105,100,79,83,78,"blue","water","Torrent",?,?,MediumSlow,Water
0.3,3,bipedalTailed,150,5,2,4,3,3,50,25,28,45,55,15,"pink","mountain","Cute Charm","Magic Guard","Friend Guard",Fast,Fairy
0.8,13.3,bipedalTailed,120,3,3,3,4,3,70,55,55,80,60,45,"pink","grass","Static",?,?,MediumSlow,Electric
1.4,61.5,bipedalTailed,45,3,4,4,5,3,90,95,105,165,110,45,"yellow","grass","Static",?,?,MediumSlow,Electric
0.4,8.5,bipedalTailed,190,4,5,3,3,3,70,20,50,20,50,40,"blue","water","Thick Fat","Huge Power",?,Fast,Water
0.8,28.5,bipedalTailed,75,3,5,3,4,2,100,50,80,50,80,50,"blue","water","Thick Fat","Huge Power",?,Fast,Water
0.4,0.5,bipedalTailed,255,5,2,1,1,5,35,35,40,35,55,50,"pink","grass","Chlorophyll","Leaf Guard","Infiltrator",MediumSlow,Grass
0.6,1,bipedalTailed,120,5,3,1,2,5,55,45,50,45,65,80,"green","grass","Chlorophyll","Leaf Guard","Infiltrator",MediumSlow,Grass
0.8,3,bipedalTailed,45,5,3,2,2,5,75,55,70,55,85,110,"blue","grass","Chlorophyll","Leaf Guard","Infiltrator",MediumSlow,Grass
0.8,11.5,bipedalTailed,45,4,3,4,3,4,55,70,55,40,55,85,"purple","forest","Run Away","Pickup",?,Fast,Normal
1.4,75,bipedalTailed,90,2,4,4,5,2,95,85,85,65,65,35,"blue","water","Damp","Water Absorb",?,MediumFast,Water
2,79.5,bipedalTailed,70,3,3,5,3,3,95,75,80,100,110,30,"pink","water","Oblivious","Own Tempo",?,MediumFast,Water
1.4,48.7,bipedalTailed,75,2,5,4,3,2,90,120,75,60,60,45,"purple","urban","Intimidate","Quick Feet","Rattled",Fast,Fairy
0.9,28,bipedalTailed,60,5,3,5,1,4,55,95,55,35,75,115,"black","forest","Inner Focus","Keen Eye",?,MediumSlow,Dark
0.6,8.8,bipedalTailed,120,3,3,4,5,3,60,80,50,50,50,40,"brown","mountain","Pickup","Quick Feet","Honey Gather",MediumFast,Normal
1.8,125.8,bipedalTailed,60,3,5,3,5,2,90,130,75,75,75,55,"brown","mountain","Guts","Quick Feet","Unnerve",MediumFast,Normal
1.2,58,bipedalTailed,45,3,3,5,3,3,55,20,35,20,45,75,"silver","urban","Own Tempo","Technician","Moody",Fast,Normal
1.4,48,bipedalTailed,45,3,3,5,3,3,50,95,95,35,110,70,"brown","urban","Intimidate","Technician","Steadfast",MediumFast,Fighting
0.7,21.4,bipedalTailed,45,3,3,3,3,3,45,75,37,70,55,83,"red","mountain","Flame Body",?,?,MediumFast,Fire
1.2,75.5,bipedalTailed,45,3,4,4,5,3,95,80,105,40,70,100,"pink","grass","Thick Fat","Scrappy","Sap Sipper",Slow,Normal
0.6,72,bipedalTailed,45,3,4,4,3,3,50,64,50,45,50,41,"green","mountain","Guts",?,?,Slow,Rock
2.5,562.2,bipedalTailed,45,2,5,4,5,2,100,164,150,95,120,71,"green","mountain","Sand Stream",?,?,Slow,Rock
0.5,5,bipedalTailed,45,5,3,5,2,3,40,45,35,65,55,70,"green","forest","Overgrow",?,?,MediumSlow,Grass
0.9,21.6,bipedalTailed,45,5,4,5,4,4,50,65,45,85,65,95,"green","forest","Overgrow",?,?,MediumSlow,Grass
1.7,52.2,bipedalTailed,45,4,5,5,4,4,70,85,65,105,85,120,"green","forest","Overgrow",?,?,MediumSlow,Grass
0.9,19.5,bipedalTailed,45,4,5,4,3,4,60,85,60,85,60,55,"red","grass","Blaze",?,?,MediumSlow,Fire
1.9,52,bipedalTailed,45,2,5,5,4,4,80,160,80,130,80,100,"red","grass","Blaze",?,?,MediumSlow,Fire
0.7,28,bipedalTailed,45,3,4,4,5,3,70,85,70,60,70,50,"blue","water","Torrent",?,?,MediumSlow,Water
1.5,81.9,bipedalTailed,45,3,5,5,5,2,100,110,90,85,90,60,"blue","water","Torrent",?,?,MediumSlow,Water
1.2,39.2,bipedalTailed,90,3,5,5,3,3,60,130,80,60,60,70,"green","forest","Effect Spore","Poison Heal","Technician",Fluctuating,Grass
1.4,46.5,bipedalTailed,120,5,3,4,4,4,80,80,80,55,55,90,"silver","forest","Vital Spirit",?,?,Slow,Normal
0.6,16.3,bipedalTailed,190,5,3,4,3,3,64,51,23,51,23,28,"pink","cave","Soundproof",?,?,MediumSlow,Normal
1,40.5,bipedalTailed,120,4,4,4,4,3,84,71,43,71,43,48,"blue","cave","Soundproof",?,?,MediumSlow,Normal
1.5,84,bipedalTailed,45,3,4,4,5,2,104,91,63,91,63,68,"blue","cave","Soundproof",?,?,MediumSlow,Normal
2.2,870.8,bipedalTailed,45,2,5,4,4,2,70,140,230,60,80,50,"gray","mountain","Sturdy","Rock Head",?,Slow,Steel
0.4,4.2,bipedalTailed,200,4,2,2,3,4,60,50,40,85,75,95,"yellow","grass","Plus",?,?,MediumFast,Electric
0.4,4.2,bipedalTailed,200,4,2,2,3,4,60,40,50,75,85,95,"yellow","grass","Minus",?,?,MediumFast,Electric
0.7,17.7,bipedalTailed,150,4,3,2,3,5,65,73,55,47,75,85,"gray","forest","Illuminate","Swarm",?,Erratic,Bug
0.9,71.5,bipedalTailed,60,2,5,5,5,3,80,45,65,90,110,80,"purple","mountain","Thick Fat","Own Tempo",?,Fast,Psychic
1.1,5,bipedalTailed,255,3,3,4,3,3,60,60,60,60,60,60,"brown","mountain","Own Tempo","Tangled Feet","Contrary",Fast,Normal
1.3,40.3,bipedalTailed,90,3,5,4,5,3,73,115,60,60,60,90,"silver","grass","Immunity",?,?,Erratic,Normal
1.5,68.2,bipedalTailed,45,2,5,4,5,2,75,125,100,70,80,45,"gray","water","Battle Armor",?,?,Erratic,Rock
1,22,bipedalTailed,200,4,3,5,4,3,60,90,70,60,120,40,"green","forest","Color Change",?,?,MediumSlow,Normal
1.2,28.7,bipedalTailed,45,3,4,4,3,3,64,165,75,93,83,75,"black","urban","Insomnia","Frisk","Cursed Body",Fast,Ghost
0.6,14,bipedalTailed,125,5,3,4,5,3,95,23,48,23,48,23,"blue","cave","Shadow Tag",?,?,MediumFast,Psychic
3.5,0,bipedalTailed,5,2,5,5,5,2,100,150,140,100,90,90,"red","rough","Drought",?,?,Slow,Ground
0.5,6.2,bipedalTailed,45,5,4,4,2,3,44,58,44,58,44,61,"brown",?,"Blaze",?,?,MediumSlow,Fire
0.9,22,bipedalTailed,45,5,4,5,2,3,64,78,52,78,52,81,"brown",?,"Blaze",?,?,MediumSlow,Fire
1.2,55,bipedalTailed,45,4,5,5,2,3,76,104,71,104,71,108,"brown",?,"Blaze",?,?,MediumSlow,Fire
0.8,23,bipedalTailed,45,4,4,4,5,4,64,66,68,81,76,50,"blue",?,"Torrent",?,?,MediumSlow,Water
1.7,84.5,bipedalTailed,45,3,5,3,5,4,84,86,88,111,101,60,"blue",?,"Torrent",?,?,MediumSlow,Water
1,31.5,bipedalTailed,127,4,4,4,5,2,79,85,60,55,60,71,"brown",?,"Simple","Unaware",?,MediumFast,Normal
0.9,31.5,bipedalTailed,45,4,5,3,3,3,67,125,40,30,30,58,"blue",?,"Mold Breaker",?,?,Erratic,Rock
1.6,102.5,bipedalTailed,45,3,5,3,4,3,97,165,60,65,50,58,"blue",?,"Mold Breaker",?,?,Erratic,Rock
1.2,20.3,bipedalTailed,45,4,4,5,4,4,75,100,66,60,66,115,"purple",?,"Technician","Pickup",?,Fast,Normal
0.4,5.5,bipedalTailed,190,5,4,2,4,4,55,66,44,44,56,85,"brown",?,"Run Away","Klutz",?,MediumFast,Normal
1.2,33.3,bipedalTailed,60,5,4,2,4,4,65,76,84,54,96,105,"brown",?,"Cute Charm","Klutz",?,MediumFast,Normal
0.7,20.5,bipedalTailed,45,4,4,3,3,2,58,70,45,40,45,42,"blue",?,"Sand Veil",?,?,Slow,Dragon
1.4,56,bipedalTailed,45,3,4,4,4,3,68,90,65,50,55,82,"blue",?,"Sand Veil",?,?,Slow,Dragon
1.9,95,bipedalTailed,45,3,5,5,4,2,108,170,115,120,95,92,"blue",?,"Sand Veil",?,?,Slow,Dragon
0.7,20.2,bipedalTailed,75,5,4,5,3,4,40,70,40,35,40,60,"blue",?,"Steadfast","Inner Focus",?,MediumSlow,Fighting
1.3,126.8,bipedalTailed,45,4,5,5,3,4,70,145,88,140,70,112,"blue",?,"Steadfast","Inner Focus",?,MediumSlow,Fighting
1,50.5,bipedalTailed,120,4,4,4,4,3,60,62,50,62,60,40,"silver",?,"Snow Warning",?,?,Slow,Grass
2.7,407.8,bipedalTailed,60,2,5,5,5,2,90,132,105,132,105,30,"silver",?,"Snow Warning",?,?,Slow,Grass
1.1,34,bipedalTailed,45,5,5,5,3,3,70,120,65,45,85,125,"black",?,"Pressure",?,?,MediumSlow,Dark
2.4,282.8,bipedalTailed,30,1,5,4,5,2,115,140,130,55,55,40,"gray",?,"Lightningrod","Solid Rock",?,Slow,Ground
1.8,138.6,bipedalTailed,30,5,4,5,4,2,75,123,67,95,85,95,"yellow",?,"Motor Drive",?,?,MediumFast,Electric
1.6,68,bipedalTailed,30,2,5,5,5,2,75,95,67,125,95,83,"red",?,"Flame Body",?,?,MediumFast,Fire
0.3,0.3,bipedalTailed,3,4,4,4,5,5,75,75,130,75,130,95,"yellow",?,"Levitate",?,?,Slow,Psychic
0.3,0.3,bipedalTailed,3,3,5,4,4,5,80,105,105,105,105,80,"pink",?,"Levitate",?,?,Slow,Psychic
0.3,0.3,bipedalTailed,3,4,3,5,3,4,75,125,70,125,70,115,"blue",?,"Levitate",?,?,Slow,Psychic
4.2,336,bipedalTailed,30,3,5,5,5,5,90,120,100,150,120,100,"purple",?,"Pressure",?,?,Slow,Water
0.6,8.1,bipedalTailed,45,?,?,?,?,?,45,45,55,45,55,63,"green",?,"Overgrow",?,?,MediumSlow,Grass
0.8,16,bipedalTailed,45,?,?,?,?,?,60,60,75,60,75,83,"green",?,"Overgrow",?,?,MediumSlow,Grass
1,55.5,bipedalTailed,45,?,?,?,?,?,90,93,55,70,55,55,"red",?,"Blaze",?,?,MediumSlow,Fire
1.6,150,bipedalTailed,45,?,?,?,?,?,110,123,65,100,65,65,"red",?,"Blaze",?,?,MediumSlow,Fire
0.5,5.9,bipedalTailed,45,?,?,?,?,?,55,55,45,63,45,45,"blue",?,"Torrent",?,?,MediumSlow,Water
0.8,24.5,bipedalTailed,45,?,?,?,?,?,75,75,60,83,60,60,"blue",?,"Torrent",?,?,MediumSlow,Water
1.1,27,bipedalTailed,255,?,?,?,?,?,60,85,69,60,69,77,"brown",?,"Illuminate","Keen Eye",?,MediumFast,Normal
0.6,10.5,bipedalTailed,65,?,?,?,?,?,50,53,48,53,48,64,"green",?,"Gluttony",?,?,MediumFast,Grass
1.1,30.5,bipedalTailed,65,?,?,?,?,?,75,98,63,98,63,101,"green",?,"Gluttony",?,?,MediumFast,Grass
0.6,11,bipedalTailed,65,?,?,?,?,?,50,53,48,53,48,64,"red",?,"Gluttony",?,?,MediumFast,Fire
1,28,bipedalTailed,65,?,?,?,?,?,75,98,63,98,63,101,"red",?,"Gluttony",?,?,MediumFast,Fire
0.6,13.5,bipedalTailed,65,?,?,?,?,?,50,53,48,53,48,64,"blue",?,"Gluttony",?,?,MediumFast,Water
1,29,bipedalTailed,65,?,?,?,?,?,75,98,63,98,63,101,"blue",?,"Gluttony",?,?,MediumFast,Water
0.3,8.5,bipedalTailed,120,?,?,?,?,?,60,85,40,30,45,68,"gray",?,"Sand Rush","Sand Force",?,MediumFast,Ground
1.1,31,bipedalTailed,255,?,?,?,?,?,103,60,86,60,86,50,"pink",?,"Healer","Regenerator",?,Fast,Normal
0.8,17,bipedalTailed,120,?,?,?,?,?,75,65,55,65,55,69,"blue",?,"Swift Swim","Hydration",?,MediumSlow,Water
1.5,96.3,bipedalTailed,45,?,?,?,?,?,95,117,70,65,70,92,"red",?,"Intimidate","Moxie",?,MediumSlow,Ground
0.6,11.8,bipedalTailed,180,?,?,?,?,?,50,75,70,35,70,48,"yellow",?,"Shed Skin","Moxie",?,MediumFast,Dark
1.1,30,bipedalTailed,90,?,?,?,?,?,65,90,115,45,115,58,"red",?,"Shed Skin","Moxie",?,MediumFast,Dark
1.2,81,bipedalTailed,45,?,?,?,?,?,74,108,133,83,65,32,"blue",?,"Solid Rock","Sturdy",?,MediumFast,Water
1.6,81.1,bipedalTailed,45,?,?,?,?,?,60,105,60,120,60,105,"gray",?,"Illusion",?,?,MediumSlow,Dark
0.5,9,bipedalTailed,255,?,?,?,?,?,55,55,55,85,55,30,"blue",?,"Telepathy","Synchronize",?,MediumFast,Psychic
0.6,18,bipedalTailed,75,?,?,?,?,?,46,87,60,30,40,57,"green",?,"Rivalry","Mold Breaker",?,Slow,Dragon
1,36,bipedalTailed,60,?,?,?,?,?,66,117,70,40,50,67,"green",?,"Rivalry","Mold Breaker",?,Slow,Dragon
1.8,105.5,bipedalTailed,45,?,?,?,?,?,76,147,90,60,70,97,"yellow",?,"Rivalry","Mold Breaker",?,Slow,Dragon
0.5,8.5,bipedalTailed,120,?,?,?,?,?,55,70,40,60,40,40,"silver",?,"Snow Cloak",?,?,MediumFast,Ice
0.9,20,bipedalTailed,180,?,?,?,?,?,45,85,50,55,50,65,"yellow",?,"Inner Focus","Regenerator",?,MediumSlow,Fighting
1.4,35.5,bipedalTailed,45,?,?,?,?,?,65,125,60,95,60,105,"purple",?,"Inner Focus","Regenerator",?,MediumSlow,Fighting
1.6,139,bipedalTailed,45,?,?,?,?,?,77,120,90,60,90,48,"red",?,"Rough Skin","Sheer Force",?,MediumFast,Dragon
1.4,58,bipedalTailed,90,?,?,?,?,?,85,97,66,105,66,65,"red",?,"Gluttony","Flash Fire",?,MediumFast,Fire
1.8,160,bipedalTailed,45,?,?,?,?,?,92,105,90,125,90,98,"blue",?,"Levitate",?,?,Slow,Dark
2.9,345,bipedalTailed,45,?,?,?,?,?,100,150,120,120,100,90,"black",?,"Teravolt",?,?,Slow,Dragon
3.6,325,bipedalTailed,3,?,?,?,?,?,125,120,90,170,100,95,"gray",?,"Pressure",?,?,Slow,Dragon
0.5,5.4,headLegs,255,5,3,4,4,3,45,50,55,75,65,30,"blue","grass","Chlorophyll",?,?,MediumSlow,Grass
0.6,12.4,headLegs,255,4,2,3,5,4,40,50,40,40,40,90,"blue","water","Water Absorb","Damp",?,MediumSlow,Water
1.4,39.2,headLegs,190,5,3,3,4,3,35,85,45,35,35,75,"brown","grass","Run Away","Early Bird",?,MediumFast,Normal
1.8,85.2,headLegs,45,5,4,2,2,3,60,110,70,60,60,100,"brown","grass","Run Away","Early Bird",?,MediumFast,Normal
2,120,headLegs,45,3,4,3,4,3,95,95,85,125,65,55,"yellow","forest","Chlorophyll",?,?,Slow,Grass
1,35,headLegs,45,3,4,4,4,3,65,55,115,100,40,60,"blue","grass","Chlorophyll","Leaf Guard","Regenerator",MediumFast,Grass
0.8,36.5,headLegs,45,3,3,3,5,3,65,60,70,85,75,40,"pink","urban","Trace","Download","Analytic",MediumFast,Normal
0.4,8.5,headLegs,255,3,3,3,4,3,55,45,45,25,25,15,"blue","water","Damp","Water Absorb",?,MediumFast,Water
0.6,32.5,headLegs,45,4,4,4,4,4,85,80,90,105,95,60,"red","urban","Trace","Download","Analytic",MediumFast,Normal
0.4,2.5,headLegs,45,5,4,4,3,4,45,60,40,70,50,45,"red","grass","Blaze",?,?,MediumSlow,Fire
0.5,4,headLegs,255,4,3,4,4,3,40,40,50,30,30,30,"brown","forest","Chlorophyll","Early Bird",?,MediumSlow,Grass
0.4,4.5,headLegs,255,3,3,2,5,3,60,40,60,40,60,35,"brown","forest","Effect Spore","Poison Heal","Quick Feet",Fluctuating,Grass
0.2,2,headLegs,150,5,2,3,3,4,50,20,40,20,40,20,"blue","water","Thick Fat","Huge Power",?,Fast,Normal
